rainfall_mm,aqi,traffic_disruption,temperature_c,flood_history_score,visibility_km,humidity_pct,wind_speed_kmh,month,risk_level
26.4,30,0.245,32.5,1,1.0,95.1,18.2,1,LOW
19.8,192,0.193,32.8,1,4.3,66.1,27.3,11,LOW
22.0,193,0.215,41.8,0,9.2,53.8,1.4,11,LOW
0.2,169,0.343,30.8,2,4.9,50.4,11.9,3,LOW
8.1,54,0.401,35.7,0,8.8,45.1,0.4,10,LOW
9.8,51,0.255,38.7,1,0.7,97.4,20.8,11,LOW
0.3,32,0.7,23.4,2,5.3,72.2,19.4,4,MEDIUM
4.5,96,0.245,44.3,0,9.3,51.2,14.9,8,LOW
21.4,38,0.192,25.0,0,3.0,82.2,17.4,7,LOW
2.2,35,0.053,26.9,1,9.3,50.2,9.3,4,LOW
11.5,64,0.193,32.8,2,0.6,65.3,1.6,6,MEDIUM
3.6,61,0.311,39.5,0,1.2,31.8,24.6,9,LOW
0.2,59,0.57,37.4,0,5.0,89.3,1.5,3,LOW
4.1,131,0.271,31.6,2,1.5,97.0,2.6,8,LOW
55.9,96,0.194,34.3,0,2.6,90.6,5.7,7,LOW
24.3,71,0.245,40.6,1,3.3,42.0,6.9,3,LOW
48.1,104,0.625,32.1,0,5.1,87.8,1.0,3,MEDIUM
10.0,41,0.414,25.5,1,4.2,54.3,14.3,3,LOW
1.7,98,0.418,27.2,1,9.3,95.5,1.5,1,LOW
11.9,102,0.221,39.3,1,8.9,50.9,10.6,8,LOW
9.1,30,0.487,25.5,0,7.6,36.3,6.0,6,LOW
27.9,200,0.093,19.5,1,6.8,89.7,16.7,3,LOW
1.5,44,0.507,29.6,0,2.4,38.2,3.5,1,LOW
10.0,97,0.176,31.4,0,6.2,67.9,18.1,9,LOW
2.4,228,0.254,38.9,0,1.9,56.3,2.9,1,LOW
5.9,189,0.173,20.3,0,4.8,83.0,8.5,2,LOW
20.1,93,0.37,34.8,3,4.9,82.4,6.7,3,MEDIUM
9.7,67,0.342,41.2,2,7.1,84.3,4.3,7,MEDIUM
7.1,192,0.378,25.5,3,8.4,34.4,0.1,1,LOW
7.5,154,0.083,32.7,0,3.5,90.1,5.1,11,LOW
9.2,55,0.13,15.0,1,0.9,62.6,1.3,2,LOW
23.1,48,0.282,39.0,0,0.9,45.3,2.6,2,LOW
33.4,30,0.265,38.4,0,8.8,50.9,11.7,1,LOW
46.6,102,0.328,31.8,1,5.1,93.2,8.5,1,LOW
23.2,84,0.088,21.4,1,2.9,30.4,7.5,7,LOW
5.7,223,0.083,37.3,0,0.8,86.1,8.3,10,LOW
17.5,120,0.278,30.0,0,5.5,94.7,1.3,12,LOW
8.6,262,0.705,15.0,0,1.8,47.5,1.8,9,LOW
4.4,52,0.106,38.2,0,4.5,87.5,7.8,12,LOW
27.6,224,0.072,41.3,1,5.4,41.3,5.2,8,LOW
0.6,59,0.237,42.7,0,2.7,31.1,6.2,9,LOW
34.8,168,0.498,21.8,1,2.4,72.3,21.1,9,LOW
9.3,30,0.463,16.7,1,0.7,75.2,2.0,4,LOW
15.2,109,0.219,28.7,0,6.1,40.5,24.2,1,LOW
16.2,30,0.404,36.1,0,2.4,65.9,19.5,1,LOW
33.8,73,0.108,24.5,1,8.8,57.0,23.2,3,LOW
15.2,128,0.511,19.3,0,6.2,35.3,10.3,3,LOW
14.3,59,0.178,37.8,2,5.8,65.5,19.9,3,LOW
1.0,39,0.287,29.2,0,5.3,71.0,47.3,10,LOW
11.0,177,0.285,37.0,2,2.5,45.2,6.4,1,MEDIUM
2.4,83,0.316,32.1,0,9.7,81.8,19.8,5,LOW
20.1,61,0.111,30.7,2,9.7,35.1,23.4,10,MEDIUM
10.8,93,0.724,31.5,2,3.6,68.6,3.7,2,MEDIUM
17.1,500,0.136,29.1,2,7.9,51.2,5.8,2,MEDIUM
0.6,227,0.527,28.3,1,1.6,60.5,8.5,5,LOW
1.3,228,0.375,23.2,0,7.9,92.5,4.3,10,LOW
18.9,128,0.204,35.9,1,3.2,76.9,3.9,8,LOW
1.1,103,0.075,42.0,0,3.2,40.4,4.8,11,LOW
1.1,30,0.203,28.0,2,5.3,92.0,5.5,10,LOW
0.2,52,0.078,46.9,2,4.2,56.1,2.9,12,MEDIUM
47.0,61,0.178,35.0,2,1.6,53.9,6.4,3,LOW
20.1,30,0.134,34.1,1,6.1,65.1,15.1,1,LOW
6.5,36,0.069,37.2,1,2.5,44.4,9.8,1,LOW
5.3,30,0.161,39.8,0,4.7,94.0,4.8,3,LOW
6.5,87,0.547,28.4,1,2.7,62.8,1.7,7,LOW
22.4,173,0.144,36.4,1,8.6,57.6,17.4,8,LOW
16.2,218,0.17,40.4,1,3.7,42.0,7.2,6,LOW
3.1,125,0.075,29.0,2,8.9,86.2,35.5,7,MEDIUM
2.9,42,0.34,32.0,2,3.6,96.7,2.9,1,LOW
1.6,30,0.213,25.9,1,2.2,90.9,1.9,5,LOW
16.2,30,0.262,28.1,0,6.0,41.3,0.1,10,LOW
21.7,33,0.271,29.2,1,5.8,82.6,0.9,7,LOW
4.6,44,0.209,24.8,0,6.4,44.3,4.9,4,LOW
0.3,79,0.511,31.5,0,3.4,32.7,2.2,10,LOW
1.3,40,0.168,34.6,1,3.5,63.9,0.4,4,LOW
51.6,118,0.44,35.4,1,2.8,76.9,2.6,9,LOW
5.3,75,0.12,25.5,3,9.3,38.7,13.0,3,MEDIUM
22.0,91,0.356,27.1,1,7.0,72.4,13.3,2,LOW
14.7,224,0.047,38.8,3,7.7,89.1,1.6,8,LOW
7.2,35,0.179,27.1,0,2.3,44.6,27.6,7,LOW
3.5,126,0.322,38.6,1,6.8,59.9,1.7,10,LOW
1.9,89,0.213,26.1,3,7.7,64.9,0.9,5,LOW
14.3,69,0.665,35.0,1,3.8,88.2,1.8,3,LOW
22.4,183,0.298,38.0,1,2.0,84.0,1.5,3,LOW
15.5,182,0.251,15.0,1,7.1,83.9,10.0,11,LOW
11.3,42,0.295,38.9,2,6.3,77.5,1.7,2,MEDIUM
0.6,78,0.28,42.4,3,6.0,73.2,10.1,5,LOW
51.9,113,0.178,29.5,1,2.2,65.6,3.2,8,LOW
24.0,72,0.188,34.8,2,3.0,55.9,2.9,1,MEDIUM
5.2,144,0.375,25.3,3,6.4,65.9,22.8,12,LOW
58.7,113,0.309,34.9,0,6.3,89.8,2.4,11,LOW
13.8,390,0.089,50.0,1,5.8,69.9,20.0,1,MEDIUM
13.1,30,0.303,15.0,3,7.8,99.0,3.6,10,MEDIUM
20.7,82,0.177,28.0,0,8.2,40.0,47.4,12,LOW
25.1,44,0.277,38.4,1,3.1,60.9,39.6,9,LOW
16.0,146,0.228,42.1,1,2.0,44.0,17.6,1,LOW
2.1,30,0.069,20.9,0,2.4,55.6,20.3,6,LOW
6.2,119,0.35,26.9,2,3.2,85.3,17.3,3,LOW
39.5,54,0.491,27.4,1,9.5,87.7,9.9,9,LOW
3.8,50,0.542,26.8,1,1.8,32.2,16.6,6,LOW
7.0,30,0.116,31.1,1,8.8,96.7,9.9,8,LOW
8.5,62,0.183,20.6,1,2.4,91.0,18.5,9,LOW
8.7,214,0.137,30.0,0,3.8,93.3,27.4,6,LOW
14.2,88,0.156,24.5,1,1.7,56.4,14.0,4,LOW
43.0,149,0.235,31.4,0,1.5,64.8,33.4,7,LOW
4.1,341,0.228,26.4,1,1.4,41.8,5.9,4,MEDIUM
1.9,111,0.507,30.6,0,3.8,57.8,26.0,2,LOW
3.3,58,0.14,23.7,2,5.5,38.8,2.6,3,LOW
32.7,131,0.464,39.6,1,2.4,90.4,0.3,3,LOW
15.6,58,0.324,29.4,0,9.4,70.7,1.4,9,LOW
5.1,60,0.511,32.1,2,6.1,39.5,1.7,3,MEDIUM
25.4,30,0.269,30.8,0,8.9,91.5,17.4,11,LOW
29.6,189,0.184,32.1,1,1.9,35.6,5.1,5,LOW
28.1,66,0.03,32.0,2,1.9,94.9,2.7,7,LOW
37.7,104,0.133,38.4,0,8.5,37.4,16.7,6,LOW
4.4,39,0.124,29.7,0,5.9,80.3,2.3,7,LOW
21.1,128,0.167,26.2,0,9.4,75.2,0.8,1,LOW
9.3,49,0.248,32.3,3,1.9,84.8,6.3,6,LOW
27.7,80,0.394,27.1,2,0.7,69.5,0.7,5,LOW
19.6,182,0.415,31.4,0,9.2,54.5,3.3,2,LOW
22.5,169,0.265,23.6,0,7.1,49.2,12.1,7,LOW
16.0,88,0.088,40.4,1,8.2,96.2,4.7,4,LOW
2.9,30,0.283,25.8,1,3.3,60.9,0.9,8,LOW
11.8,500,0.247,41.6,0,0.5,89.0,5.2,11,MEDIUM
62.7,364,0.272,31.5,0,5.1,80.6,7.2,11,HIGH
41.6,160,0.505,38.8,2,9.9,75.9,2.9,7,LOW
0.7,49,0.086,25.9,2,9.1,97.9,1.9,3,LOW
2.7,82,0.23,16.3,0,1.2,69.6,14.3,12,LOW
2.1,58,0.08,18.8,0,2.3,81.3,0.7,9,LOW
19.4,247,0.171,50.0,0,3.5,89.5,31.4,5,MEDIUM
25.5,111,0.084,27.2,1,8.4,33.2,0.1,3,LOW
3.6,48,0.297,40.8,0,8.3,99.7,10.5,4,LOW
10.6,62,0.443,21.6,0,2.3,48.4,1.4,11,LOW
27.6,221,0.301,33.4,1,5.6,79.2,7.9,8,LOW
19.8,324,0.072,34.8,0,5.3,96.8,2.1,11,MEDIUM
11.7,306,0.204,50.0,0,4.4,83.4,0.3,1,MEDIUM
13.4,165,0.163,29.5,1,5.6,46.1,19.6,6,LOW
10.7,74,0.039,26.3,1,3.3,55.4,5.5,12,LOW
5.3,30,0.567,34.8,2,5.5,59.0,3.2,8,MEDIUM
12.5,114,0.548,24.6,0,7.0,71.0,29.4,7,LOW
17.5,90,0.117,35.3,0,1.1,72.2,0.9,8,LOW
31.0,101,0.364,31.6,0,9.7,85.2,4.3,10,LOW
15.2,94,0.248,26.0,2,2.1,90.2,2.0,1,MEDIUM
21.5,31,0.231,36.0,0,3.9,36.3,47.3,3,LOW
2.6,141,0.722,32.9,0,5.0,49.1,7.9,5,LOW
9.3,149,0.339,38.1,0,0.9,54.1,16.7,2,LOW
0.1,155,0.135,45.2,3,5.7,30.9,1.8,11,MEDIUM
4.2,192,0.219,28.0,3,8.8,59.2,3.6,5,MEDIUM
19.4,146,0.203,28.7,1,9.1,55.1,9.7,8,LOW
72.1,65,0.347,21.2,0,3.6,66.8,2.0,3,MEDIUM
1.6,85,0.175,36.2,2,5.8,37.0,6.9,12,LOW
7.7,97,0.387,26.8,1,7.9,59.0,26.8,5,LOW
24.1,98,0.289,34.8,2,2.9,71.8,26.6,1,LOW
3.4,200,0.028,41.3,2,5.5,86.3,4.4,11,MEDIUM
12.1,151,0.098,26.5,0,4.0,83.7,7.3,6,LOW
19.8,474,0.138,28.2,3,4.1,58.3,2.2,9,MEDIUM
14.4,500,0.221,40.1,2,1.4,57.3,38.4,12,MEDIUM
3.1,96,0.127,37.7,1,4.4,32.6,7.3,1,LOW
6.6,30,0.11,36.8,1,2.0,35.8,2.3,1,LOW
23.0,242,0.392,28.9,1,3.4,91.1,18.6,7,LOW
12.1,58,0.423,20.5,1,3.6,86.4,5.5,12,LOW
0.1,47,0.231,26.3,1,4.6,31.5,10.1,8,LOW
21.5,65,0.214,23.9,0,9.2,91.8,18.6,12,LOW
0.5,63,0.215,36.7,0,6.5,73.0,3.7,2,LOW
20.5,147,0.553,34.3,1,9.8,86.1,8.6,3,LOW
3.4,30,0.115,27.2,3,6.1,65.2,0.6,8,MEDIUM
47.6,38,0.66,28.6,0,8.2,40.5,2.7,6,MEDIUM
6.9,118,0.164,35.8,0,8.4,55.0,1.5,11,LOW
5.9,148,0.199,29.4,2,7.5,61.5,10.3,6,MEDIUM
2.4,150,0.199,27.4,0,6.9,82.8,2.9,6,LOW
5.5,48,0.117,47.8,3,4.5,86.9,14.3,5,MEDIUM
31.4,41,0.06,27.6,1,5.9,81.9,14.3,4,LOW
84.1,60,0.184,37.3,3,2.3,63.4,15.3,3,MEDIUM
6.9,109,0.254,35.1,2,6.4,76.5,1.4,8,LOW
8.9,295,0.484,19.8,2,5.4,50.7,7.5,3,LOW
19.2,30,0.203,26.6,0,8.1,99.1,11.4,8,LOW
32.6,75,0.243,38.6,1,9.1,41.8,3.9,1,LOW
13.5,31,0.211,30.9,0,1.8,80.7,3.0,12,LOW
7.5,30,0.412,20.3,2,7.1,40.8,12.7,9,MEDIUM
8.0,195,0.208,35.2,1,9.5,49.7,4.3,2,LOW
17.8,139,0.34,27.3,0,9.2,82.4,2.9,2,LOW
0.0,129,0.17,35.5,0,8.4,81.0,8.3,2,LOW
14.5,188,0.26,50.0,0,1.0,38.7,9.7,12,MEDIUM
6.6,61,0.464,35.1,2,2.9,77.5,15.0,5,MEDIUM
23.7,64,0.212,36.9,1,1.9,44.3,0.4,2,LOW
1.5,500,0.06,30.0,0,9.3,98.1,1.9,3,MEDIUM
13.3,74,0.298,23.0,1,7.6,72.2,15.0,5,LOW
9.8,162,0.203,40.2,0,5.6,30.2,7.6,12,LOW
15.4,90,0.219,27.2,0,9.8,44.6,16.4,9,LOW
1.0,30,0.289,30.2,0,2.3,46.1,6.0,12,LOW
13.0,30,0.454,46.3,3,6.6,47.3,6.2,9,MEDIUM
12.4,57,0.141,29.3,0,6.3,69.0,4.7,7,LOW
12.3,210,0.247,41.7,1,3.7,44.4,11.8,12,LOW
13.9,169,0.324,35.1,1,5.1,58.9,8.9,8,LOW
16.9,187,0.387,27.6,1,2.7,42.1,5.0,1,LOW
24.5,41,0.144,34.7,0,6.9,76.7,2.1,2,LOW
4.7,328,0.23,26.3,0,4.5,69.8,0.0,2,MEDIUM
26.1,42,0.105,39.2,0,0.7,74.0,1.0,7,LOW
10.3,107,0.23,42.0,0,9.5,97.7,1.1,5,LOW
1.2,89,0.311,32.4,1,5.3,58.0,8.4,5,LOW
0.9,78,0.117,42.7,0,7.2,45.1,14.2,6,LOW
6.1,263,0.363,33.3,1,2.4,99.9,6.1,6,LOW
23.0,51,0.365,39.3,0,1.7,34.1,5.3,3,LOW
18.4,31,0.268,50.0,1,9.1,86.7,1.4,5,MEDIUM
23.3,91,0.049,50.0,2,6.1,41.4,23.1,3,MEDIUM
10.9,65,0.316,30.5,0,5.2,76.5,13.3,3,LOW
8.7,500,0.074,34.3,0,5.5,63.2,5.4,4,MEDIUM
2.4,155,0.316,23.6,0,2.7,88.7,1.0,5,LOW
6.0,65,0.275,38.4,0,9.2,81.2,18.7,8,LOW
8.5,39,0.27,35.1,0,2.5,42.1,1.9,10,LOW
1.4,30,0.062,25.8,0,2.0,76.6,11.2,6,LOW
3.7,40,0.264,41.5,3,9.3,45.2,4.1,7,LOW
13.7,99,0.348,29.9,2,2.9,41.8,19.6,1,MEDIUM
20.0,282,0.129,27.8,3,8.7,35.9,8.8,1,MEDIUM
96.1,221,0.411,35.2,1,7.8,38.0,2.6,4,MEDIUM
40.6,108,0.107,28.3,2,4.1,79.3,0.1,8,MEDIUM
15.4,70,0.292,31.7,2,2.9,99.4,2.4,2,LOW
8.2,112,0.508,46.0,2,7.7,77.3,4.5,9,MEDIUM
15.2,59,0.228,27.1,0,6.2,79.6,12.3,10,LOW
23.1,356,0.064,37.4,1,2.9,84.8,2.4,11,MEDIUM
1.9,77,0.399,27.3,1,9.0,92.2,3.0,5,LOW
7.9,84,0.275,24.2,1,7.3,48.7,5.7,8,LOW
27.5,30,0.575,31.3,1,9.1,72.3,0.4,4,LOW
7.3,77,0.144,50.0,2,4.7,45.2,14.6,10,MEDIUM
12.7,176,0.342,38.3,3,1.7,66.8,0.8,6,MEDIUM
13.3,38,0.39,35.7,2,9.3,44.6,13.4,1,LOW
3.1,49,0.082,27.8,2,6.2,34.5,3.1,6,LOW
6.7,170,0.166,28.9,1,6.3,36.2,6.2,12,LOW
6.1,30,0.116,20.1,1,6.1,98.3,5.3,7,LOW
0.4,210,0.466,46.4,1,5.0,30.4,2.9,3,MEDIUM
0.4,59,0.279,34.2,0,2.9,78.3,3.0,5,LOW
26.7,66,0.358,33.5,2,6.3,92.1,29.8,11,LOW
4.8,37,0.418,33.6,3,7.3,57.6,3.6,8,MEDIUM
10.9,122,0.028,48.7,1,9.2,79.6,2.0,9,MEDIUM
5.3,500,0.594,34.4,2,1.2,54.4,2.9,6,MEDIUM
42.4,168,0.145,30.5,0,2.9,67.0,11.9,2,LOW
4.5,45,0.429,46.4,1,7.9,95.5,3.7,5,MEDIUM
8.4,223,0.502,31.0,2,7.9,33.0,1.9,9,MEDIUM
30.9,70,0.06,18.5,0,2.5,48.7,5.4,3,LOW
27.7,270,0.441,19.8,0,2.3,37.4,1.3,6,LOW
3.1,172,0.203,30.5,0,4.0,64.7,5.1,6,LOW
24.3,30,0.315,34.3,0,1.1,83.9,19.8,11,LOW
9.2,40,0.262,38.6,0,7.4,98.4,4.7,2,LOW
9.9,192,0.064,24.7,0,6.9,40.9,7.2,3,LOW
2.1,102,0.42,30.2,3,8.7,33.1,15.6,11,LOW
1.3,40,0.523,25.5,2,4.6,39.7,7.3,9,LOW
19.5,54,0.262,40.9,1,6.5,97.8,0.5,9,LOW
10.3,30,0.036,42.3,2,9.6,52.4,2.4,9,MEDIUM
8.6,84,0.23,47.7,0,9.6,48.7,22.5,2,MEDIUM
19.6,500,0.42,34.8,2,1.2,81.5,16.2,3,MEDIUM
21.8,171,0.495,46.9,1,0.5,38.4,14.3,9,MEDIUM
2.6,500,0.221,26.5,2,9.6,54.4,7.9,12,MEDIUM
14.1,182,0.117,33.7,1,5.6,40.1,4.4,8,LOW
2.2,205,0.373,23.5,0,7.2,98.2,11.9,4,LOW
20.9,437,0.433,36.6,2,9.2,50.0,10.9,10,MEDIUM
16.0,122,0.544,34.3,1,4.6,48.8,10.3,11,LOW
47.1,77,0.398,15.0,2,4.7,74.4,7.0,11,MEDIUM
1.1,206,0.246,40.9,0,2.1,31.2,3.0,7,LOW
0.9,288,0.112,38.8,1,9.1,75.7,5.7,5,LOW
5.0,61,0.08,27.6,0,6.7,61.8,7.2,2,LOW
4.6,51,0.353,34.2,2,2.2,42.9,2.4,7,LOW
4.3,101,0.216,20.1,3,5.8,64.0,2.6,10,LOW
35.5,175,0.488,25.8,0,3.6,99.9,15.7,8,LOW
4.3,170,0.392,45.4,2,1.9,88.7,3.9,4,MEDIUM
4.8,30,0.153,22.8,0,2.2,98.2,36.4,10,LOW
21.4,415,0.543,32.1,2,5.8,94.8,5.7,11,MEDIUM
9.0,54,0.418,20.8,0,5.9,87.4,9.4,8,LOW
22.5,73,0.342,34.7,0,8.0,53.4,7.0,11,LOW
1.0,44,0.365,36.5,0,2.9,81.1,6.8,7,LOW
10.0,500,0.574,37.8,2,9.2,57.4,22.1,3,MEDIUM
0.5,109,0.303,35.7,0,5.4,60.1,1.0,3,LOW
1.0,46,0.247,43.4,1,2.4,91.1,4.2,12,LOW
35.5,180,0.271,27.6,1,4.4,44.4,3.4,3,LOW
2.2,167,0.443,23.5,1,9.3,50.8,3.9,3,LOW
11.4,77,0.266,27.3,1,5.0,95.1,24.4,7,LOW
7.9,176,0.276,21.2,0,8.8,79.0,0.7,5,LOW
6.4,47,0.089,32.6,2,2.0,34.5,3.3,12,MEDIUM
34.5,61,0.056,30.9,0,9.2,38.5,13.4,4,LOW
0.3,30,0.179,35.8,2,4.6,70.6,2.7,10,MEDIUM
16.4,31,0.172,19.1,1,9.4,85.9,17.9,8,LOW
49.6,382,0.428,31.9,1,8.7,85.5,4.0,10,MEDIUM
12.3,335,0.138,41.7,0,6.8,59.7,1.2,9,MEDIUM
41.4,95,0.216,36.6,0,6.9,48.1,7.3,3,LOW
0.8,340,0.42,16.8,1,2.5,85.1,7.2,11,MEDIUM
8.1,79,0.278,31.9,0,6.2,96.1,0.4,6,LOW
4.5,74,0.161,26.1,1,5.7,61.1,12.7,4,LOW
19.7,94,0.038,32.1,1,3.7,39.6,1.5,12,LOW
59.7,81,0.279,29.0,0,5.3,72.7,2.4,5,LOW
4.4,76,0.396,45.9,0,9.3,35.0,8.3,7,MEDIUM
15.9,225,0.447,32.7,3,0.6,72.8,22.1,4,LOW
3.3,102,0.552,34.5,1,4.5,42.1,0.2,8,LOW
12.5,159,0.398,31.6,2,3.7,66.1,17.3,3,LOW
9.4,205,0.486,35.8,0,9.6,73.8,14.0,11,LOW
53.6,123,0.111,30.3,0,9.8,61.3,1.8,7,LOW
14.1,41,0.628,38.2,1,6.1,87.9,4.7,3,LOW
6.5,30,0.425,28.9,2,5.7,56.2,23.6,2,LOW
1.8,101,0.417,43.0,1,9.1,40.9,1.6,8,LOW
2.5,78,0.312,36.0,1,0.6,62.5,1.2,2,LOW
3.8,97,0.167,30.8,0,5.8,97.4,13.3,9,LOW
4.3,89,0.128,38.7,3,0.7,91.6,6.4,5,MEDIUM
28.5,500,0.134,35.9,1,9.7,51.8,3.3,4,MEDIUM
12.4,31,0.312,38.6,0,3.5,47.0,1.9,12,LOW
11.1,30,0.32,32.7,1,5.4,63.8,12.8,9,LOW
1.8,117,0.505,30.1,0,4.5,75.9,5.8,8,LOW
29.5,67,0.387,33.1,1,9.0,94.9,2.7,2,LOW
19.2,116,0.501,28.0,2,10.0,72.9,28.7,5,MEDIUM
1.1,144,0.195,39.8,0,1.1,88.5,8.2,1,LOW
18.5,251,0.316,43.8,0,7.5,78.7,4.4,2,LOW
11.8,30,0.643,36.6,1,4.0,37.1,12.7,5,LOW
1.3,58,0.098,43.3,1,1.8,92.4,6.9,3,LOW
9.2,127,0.164,41.0,1,4.4,44.0,0.1,10,LOW
9.9,167,0.602,29.9,1,10.0,55.7,18.4,10,LOW
2.7,500,0.386,38.7,0,3.9,88.8,0.7,10,MEDIUM
43.7,193,0.556,21.7,1,3.1,98.5,45.4,1,LOW
28.5,86,0.184,33.5,3,8.5,51.7,4.3,7,LOW
16.6,44,0.096,22.5,2,8.7,56.8,7.4,7,MEDIUM
9.3,57,0.206,31.1,0,3.7,64.0,76.9,3,LOW
8.0,56,0.576,20.5,1,3.3,64.9,3.1,7,LOW
15.8,152,0.596,40.8,0,6.6,82.5,6.2,5,LOW
11.8,111,0.21,28.8,0,2.4,87.2,14.1,8,LOW
1.0,31,0.509,39.3,2,5.1,99.4,6.3,2,MEDIUM
10.8,64,0.478,31.4,0,1.8,86.3,4.1,12,LOW
24.6,182,0.333,17.2,2,3.4,51.0,1.3,7,MEDIUM
9.2,119,0.171,28.1,0,3.3,55.1,7.2,3,LOW
0.8,142,0.326,27.8,2,7.1,73.3,8.0,10,MEDIUM
23.1,122,0.038,31.9,0,3.2,78.1,2.7,4,LOW
3.4,331,0.211,44.1,1,9.0,36.3,4.1,1,MEDIUM
4.5,109,0.276,45.4,0,9.8,54.1,3.5,7,MEDIUM
2.7,66,0.103,30.2,0,1.3,44.2,5.6,11,LOW
6.0,43,0.194,21.9,2,4.3,65.5,16.0,11,LOW
21.2,110,0.152,26.0,2,3.4,41.8,4.0,8,MEDIUM
11.0,30,0.132,35.8,2,3.8,70.7,3.2,2,MEDIUM
3.4,78,0.548,31.1,0,3.0,62.7,18.3,5,LOW
31.5,76,0.527,19.4,2,4.1,58.3,16.7,5,MEDIUM
31.8,30,0.222,28.0,2,1.8,75.4,15.8,8,LOW
30.7,43,0.276,42.5,0,3.2,59.1,13.6,3,LOW
4.1,172,0.339,34.3,1,7.6,57.9,22.0,2,LOW
9.0,108,0.227,32.4,1,3.8,75.6,12.5,2,LOW
63.0,98,0.201,28.9,1,2.5,34.0,1.9,1,MEDIUM
22.2,115,0.244,28.3,2,1.5,60.3,0.3,7,MEDIUM
0.4,97,0.04,36.4,1,3.8,43.7,2.0,6,LOW
1.0,243,0.241,33.1,0,6.6,32.7,4.5,11,LOW
9.4,99,0.336,38.2,0,2.9,32.4,0.5,3,LOW
36.0,30,0.135,36.4,1,4.5,41.7,14.1,9,LOW
11.6,332,0.191,32.2,0,9.5,60.4,10.3,5,MEDIUM
10.3,121,0.292,35.1,0,5.7,69.7,12.7,9,LOW
1.7,56,0.533,27.3,1,5.6,85.7,1.0,1,LOW
16.0,33,0.241,31.6,1,4.4,72.5,4.0,3,LOW
25.9,124,0.267,42.7,0,5.8,66.4,6.2,8,LOW
7.2,82,0.129,32.1,3,9.9,32.5,9.2,12,LOW
22.4,317,0.265,30.3,2,2.9,50.9,16.2,3,MEDIUM
50.1,68,0.325,33.7,1,9.4,78.5,37.7,8,LOW
3.4,46,0.253,22.7,2,1.9,48.9,0.9,1,LOW
11.1,184,0.059,33.8,1,1.6,71.6,10.3,11,LOW
5.1,189,0.28,45.6,1,6.7,72.3,1.4,4,MEDIUM
23.6,103,0.148,25.5,2,2.9,51.4,3.6,9,MEDIUM
12.9,155,0.018,34.1,0,4.7,70.0,14.8,7,LOW
15.1,87,0.136,31.8,2,7.4,38.0,51.3,11,LOW
24.0,109,0.419,31.6,1,5.6,80.9,7.5,5,LOW
7.6,229,0.152,31.5,1,0.6,31.6,4.4,1,LOW
37.0,148,0.347,37.7,0,3.4,32.5,2.4,12,LOW
11.4,79,0.264,23.2,1,1.1,90.9,15.3,11,LOW
2.6,266,0.238,37.5,1,9.3,70.6,23.4,9,LOW
17.9,30,0.165,32.6,0,8.0,41.4,18.9,11,LOW
23.6,465,0.515,17.9,1,9.8,72.1,7.1,6,MEDIUM
5.7,30,0.57,35.0,1,8.9,55.9,8.9,10,LOW
29.2,55,0.305,32.9,2,5.0,48.9,18.1,6,MEDIUM
35.5,87,0.307,25.0,1,8.9,86.8,26.4,9,LOW
4.9,80,0.11,33.3,1,6.9,63.4,28.0,8,LOW
61.6,201,0.261,21.5,1,5.5,50.5,11.7,9,MEDIUM
2.3,39,0.262,26.5,1,4.0,96.1,2.1,2,LOW
3.4,111,0.132,32.3,3,7.0,41.6,3.8,3,LOW
3.1,57,0.586,18.5,0,6.1,39.9,3.1,5,LOW
33.7,114,0.318,22.8,0,6.3,36.8,1.9,5,LOW
15.9,85,0.357,24.0,1,4.3,38.7,2.9,6,LOW
2.5,97,0.271,32.6,1,7.5,47.7,20.4,2,LOW
8.7,58,0.365,35.5,3,1.3,78.9,14.7,8,MEDIUM
14.3,60,0.206,24.9,0,7.4,77.0,0.4,12,LOW
1.3,113,0.385,24.4,1,7.4,83.4,1.6,1,LOW
32.1,192,0.162,33.1,0,5.4,70.3,41.9,12,LOW
24.4,56,0.441,32.9,1,3.0,64.5,2.6,7,LOW
10.6,45,0.209,26.4,2,5.4,60.2,10.1,6,LOW
51.2,147,0.359,46.6,2,1.7,91.2,2.3,9,MEDIUM
8.1,88,0.281,33.5,2,3.2,54.0,2.7,7,MEDIUM
62.1,175,0.131,30.6,1,4.5,92.4,6.9,12,MEDIUM
16.5,44,0.542,28.9,1,6.9,49.3,6.7,12,LOW
15.1,30,0.244,40.1,1,2.3,41.0,10.4,8,LOW
2.7,59,0.301,36.4,1,2.0,47.9,1.8,2,LOW
32.0,49,0.418,18.1,2,6.3,64.9,3.0,10,MEDIUM
8.4,85,0.453,26.4,0,7.0,94.8,9.8,4,LOW
2.7,54,0.48,28.4,1,1.3,42.4,1.0,9,LOW
0.2,163,0.183,31.9,1,0.8,70.6,24.0,7,LOW
12.3,71,0.177,37.0,2,1.9,45.2,2.0,11,LOW
11.2,102,0.245,23.4,2,9.1,77.4,5.8,12,MEDIUM
19.1,102,0.49,31.4,0,6.9,62.6,1.2,2,LOW
33.1,105,0.611,45.6,0,9.2,81.3,11.5,1,MEDIUM
1.2,88,0.374,32.2,3,6.8,89.9,4.0,3,MEDIUM
19.7,135,0.047,26.4,0,9.7,53.4,0.8,12,LOW
3.1,48,0.592,21.3,0,4.7,95.7,9.0,6,LOW
29.3,276,0.35,28.1,0,6.2,62.8,39.5,10,LOW
