hourly_rate,normal_work_hours,rainfall_mm,traffic_disruption,aqi,day_of_week,is_peak_hour,city_index,income_lost_inr
72,7.1,68.8,0.45,50,3,0,4,161.17
87,8.7,7.9,0.512,287,4,0,3,123.88
75,7.0,16.9,0.157,164,1,1,4,42.98
80,6.7,0.4,0.32,167,3,0,0,72.11
81,6.3,3.1,0.179,280,0,0,1,46.01
69,9.3,1.3,0.216,36,0,1,1,21.95
69,9.4,5.1,0.339,25,5,1,0,136.47
79,9.9,16.3,0.039,100,4,1,4,51.71
77,11.3,1.8,0.437,29,6,1,7,120.99
89,11.5,6.4,0.352,140,3,0,5,157.8
84,8.0,2.6,0.137,232,2,0,6,102.26
89,9.8,3.1,0.386,64,6,0,4,96.32
78,8.8,0.6,0.647,69,6,0,4,121.74
68,10.5,8.5,0.118,69,2,0,1,12.36
64,10.3,2.2,0.163,69,3,0,6,29.47
95,7.2,4.4,0.119,12,6,1,1,38.23
73,7.0,5.3,0.499,29,5,0,4,122.12
71,6.7,3.1,0.167,60,0,0,2,23.31
99,6.7,7.8,0.304,682,4,1,2,178.84
74,7.5,1.1,0.753,294,2,0,3,123.44
50,8.1,14.7,0.121,89,3,0,6,82.31
83,9.7,4.1,0.364,183,5,1,1,139.37
72,10.5,8.6,0.407,15,5,1,3,97.62
69,6.8,1.5,0.749,117,0,1,1,71.7
78,7.5,0.3,0.524,37,1,1,6,78.73
50,9.6,5.2,0.146,60,5,0,6,43.87
52,10.5,13.4,0.414,57,3,0,0,72.74
73,10.9,7.2,0.27,55,4,1,7,32.76
88,8.3,14.8,0.456,36,4,0,6,73.68
76,8.7,12.7,0.176,25,5,0,4,27.1
75,10.1,14.9,0.37,27,5,1,2,122.39
80,7.7,23.0,0.019,195,1,0,4,135.26
93,6.5,3.8,0.173,23,6,0,1,73.17
81,8.7,0.1,0.131,77,0,1,0,63.74
79,11.9,0.6,0.476,24,4,0,6,136.83
72,8.2,3.0,0.348,18,6,1,6,60.03
74,7.8,1.4,0.542,39,4,1,4,77.99
83,10.9,4.0,0.294,118,5,0,7,72.74
100,11.5,11.1,0.441,22,1,0,6,160.68
84,10.7,17.4,0.211,20,5,0,1,124.61
68,9.1,2.0,0.166,40,6,1,1,30.44
75,11.3,10.3,0.596,265,0,0,4,94.04
97,9.5,27.2,0.064,227,5,1,7,121.47
81,7.8,16.3,0.386,230,0,0,0,131.47
59,11.6,2.0,0.512,55,3,1,5,79.27
87,9.9,12.4,0.356,207,5,0,3,181.24
70,6.8,7.8,0.295,26,2,0,2,25.59
63,8.0,3.5,0.13,25,2,0,3,30.78
81,10.0,9.0,0.118,40,4,1,6,104.23
67,11.0,2.1,0.527,31,6,1,1,88.78
92,11.9,4.6,0.312,68,0,1,4,95.59
81,7.2,5.3,0.208,21,4,0,2,69.27
100,10.8,4.9,0.027,75,1,0,0,0.0
85,6.7,1.2,0.093,283,2,1,4,43.42
73,10.1,6.4,0.281,153,6,1,0,30.2
72,6.6,22.2,0.443,69,4,1,7,89.01
75,9.4,21.9,0.338,86,0,0,2,155.75
87,9.1,6.6,0.098,43,3,1,7,40.91
58,11.4,0.2,0.342,54,0,1,7,16.63
84,9.2,10.4,0.382,49,5,1,2,140.12
66,10.3,10.9,0.434,66,0,0,6,109.67
114,11.2,23.3,0.427,89,4,1,6,201.25
88,6.8,21.9,0.164,21,1,0,3,99.09
90,6.7,17.9,0.363,171,5,0,3,121.63
81,6.7,23.3,0.342,290,2,0,7,168.77
56,7.9,3.4,0.634,7,4,0,4,60.69
80,8.3,10.0,0.399,95,3,0,0,121.22
86,6.2,32.6,0.304,18,1,0,3,49.26
71,7.5,9.1,0.343,414,1,0,5,79.39
79,6.0,26.4,0.225,43,1,0,0,65.56
89,7.1,28.5,0.494,111,5,0,6,159.54
82,8.4,0.9,0.126,21,5,1,3,16.6
84,10.5,29.6,0.235,18,5,0,6,125.01
88,12.0,1.3,0.022,150,0,0,7,45.65
99,7.2,6.2,0.204,93,6,1,7,85.63
67,10.2,16.7,0.171,142,0,0,7,80.55
109,8.1,0.9,0.333,69,4,0,5,71.2
109,11.1,6.0,0.161,33,6,0,6,102.29
72,8.0,3.2,0.088,82,6,1,5,87.68
90,7.9,14.7,0.068,53,1,0,2,42.69
107,9.2,24.4,0.449,59,6,0,5,259.52
102,12.0,17.5,0.199,97,0,1,3,112.23
54,8.1,9.6,0.24,103,3,0,1,60.8
78,7.2,22.2,0.474,135,4,1,3,90.54
72,10.2,23.2,0.145,14,2,1,4,120.01
93,11.4,8.2,0.347,47,6,0,2,143.7
94,11.0,23.2,0.287,38,5,0,7,216.68
62,11.3,26.7,0.249,55,1,0,1,77.5
69,6.2,0.1,0.273,73,2,0,4,28.34
56,6.5,25.5,0.16,24,4,1,3,36.81
79,10.8,0.7,0.171,31,1,1,4,16.91
76,8.5,4.3,0.499,223,1,1,0,67.77
87,8.7,9.7,0.158,308,4,1,0,86.81
107,8.4,3.4,0.212,57,6,1,5,89.48
84,7.0,25.0,0.218,124,2,1,5,95.11
76,11.6,18.6,0.117,135,2,1,7,186.22
92,10.4,7.9,0.338,37,5,0,7,108.06
75,7.9,21.8,0.088,23,0,0,5,89.26
77,9.6,20.4,0.084,136,0,0,4,70.06
83,9.2,4.8,0.46,39,5,0,5,32.0
62,8.9,0.8,0.19,38,0,0,0,36.58
75,11.8,10.8,0.52,107,1,1,2,185.14
68,8.7,18.5,0.29,119,3,0,2,95.43
92,9.7,31.4,0.527,101,5,0,7,227.69
65,7.6,0.5,0.077,19,1,0,6,41.0
66,8.2,6.2,0.566,9,0,0,2,73.41
69,9.4,13.8,0.291,74,6,0,1,58.54
68,11.6,7.3,0.29,263,1,0,4,187.1
105,11.8,3.0,0.208,33,0,0,4,197.71
96,10.9,10.8,0.074,182,0,1,0,186.05
87,10.9,25.2,0.243,49,4,1,0,194.48
74,6.7,34.7,0.255,43,3,0,5,91.7
79,11.4,59.0,0.303,102,1,0,0,306.52
104,11.7,5.8,0.406,128,1,0,3,167.45
75,7.4,2.7,0.333,101,4,1,7,44.44
64,9.0,19.7,0.377,67,6,0,7,52.95
92,8.4,14.0,0.256,39,4,0,0,102.8
76,10.5,16.8,0.242,48,6,1,4,137.18
77,6.9,5.4,0.171,116,5,1,3,46.16
77,10.4,3.0,0.012,61,2,1,3,78.24
78,11.1,18.1,0.334,81,2,0,3,165.53
87,6.7,7.1,0.516,235,6,0,0,72.53
75,7.4,14.0,0.162,101,0,1,7,94.38
85,6.7,24.7,0.72,303,1,0,2,166.36
96,10.8,5.1,0.499,48,6,0,2,75.36
102,6.1,17.5,0.17,527,6,1,0,124.0
66,11.4,7.2,0.389,49,2,1,2,155.65
95,9.2,11.6,0.151,108,4,1,1,165.3
97,7.3,21.1,0.371,102,2,0,4,114.18
99,6.9,4.3,0.349,21,5,1,3,96.12
81,6.9,21.9,0.245,73,3,0,1,95.83
76,7.6,2.8,0.529,460,2,0,3,124.94
57,6.5,6.6,0.246,53,0,0,1,37.71
81,10.8,3.9,0.143,28,0,0,1,0.0
107,7.6,0.2,0.095,181,2,1,7,31.07
85,6.1,0.1,0.453,65,1,0,5,53.34
77,10.8,2.6,0.603,155,0,1,0,153.77
89,9.5,12.5,0.332,59,1,1,6,162.0
62,6.2,8.9,0.356,44,2,0,2,88.41
76,7.4,4.6,0.287,16,5,1,6,23.08
92,7.9,7.0,0.357,18,1,0,3,91.49
88,11.6,13.5,0.301,87,4,1,0,163.59
72,8.6,26.4,0.354,26,1,1,0,22.47
107,10.1,3.6,0.129,25,4,0,7,81.29
58,10.7,25.5,0.286,105,4,0,0,90.51
85,9.1,6.3,0.334,137,4,0,1,26.57
93,6.6,4.9,0.373,19,0,1,1,60.98
99,11.6,10.1,0.326,44,3,0,2,183.91
82,8.7,5.3,0.067,34,1,0,4,2.32
91,7.0,4.1,0.412,253,5,1,5,158.27
80,10.6,27.6,0.108,99,3,1,1,101.7
105,11.3,6.2,0.306,94,1,0,2,247.18
85,10.4,2.0,0.09,149,6,1,7,50.72
97,8.7,6.8,0.226,20,1,0,7,128.48
63,11.9,4.1,0.35,43,5,1,5,67.8
78,6.6,8.6,0.513,11,1,1,4,68.66
88,6.9,12.3,0.249,73,0,1,7,55.29
88,7.7,0.2,0.185,52,3,0,4,25.04
71,6.8,18.6,0.578,23,6,0,7,80.01
52,8.7,7.6,0.39,27,2,1,3,45.62
54,9.6,9.4,0.174,87,4,0,0,81.27
66,7.8,1.8,0.59,152,6,0,0,100.23
122,6.2,6.9,0.192,57,2,0,3,0.0
50,9.4,8.1,0.284,219,5,0,0,62.43
77,9.4,0.5,0.508,47,0,1,3,136.42
76,11.2,2.3,0.389,41,2,1,1,121.43
81,6.6,5.5,0.583,133,4,0,6,69.5
79,8.2,2.4,0.077,69,3,1,7,12.19
65,7.4,4.6,0.181,62,1,1,6,48.55
95,6.6,25.3,0.531,107,4,0,3,121.7
56,7.8,11.8,0.304,199,5,1,2,41.38
108,10.8,9.6,0.065,81,5,1,0,80.53
87,7.4,22.3,0.05,85,0,0,4,95.08
66,11.5,3.2,0.506,169,5,1,3,129.88
70,10.2,44.8,0.347,52,6,1,2,171.36
97,6.6,3.0,0.129,67,6,0,6,21.03
60,7.3,8.1,0.147,56,2,0,5,52.86
81,6.2,39.8,0.281,92,3,0,7,91.17
80,6.7,4.9,0.126,8,5,0,6,44.86
79,10.3,2.2,0.661,135,1,1,0,175.45
88,6.9,6.3,0.414,89,4,1,2,64.86
90,7.8,3.2,0.549,60,3,0,5,105.55
86,10.1,16.6,0.225,51,3,1,7,128.53
97,9.8,30.4,0.112,284,4,1,4,191.89
84,11.4,23.3,0.216,277,1,1,1,148.91
72,8.0,1.9,0.267,349,5,1,0,47.68
63,8.2,36.2,0.342,251,0,0,4,110.86
81,6.6,16.0,0.204,70,6,0,0,84.74
86,7.7,17.0,0.414,115,2,0,1,71.12
53,11.1,9.6,0.272,116,4,1,7,80.24
87,6.8,5.6,0.123,92,3,0,0,28.17
67,8.2,3.5,0.286,29,3,0,3,13.96
66,11.1,7.6,0.235,96,6,1,2,21.48
82,7.3,19.6,0.168,44,3,1,6,66.58
50,6.9,4.5,0.083,298,4,1,5,59.65
102,6.0,26.5,0.156,38,1,1,7,88.42
94,11.5,1.9,0.274,134,3,1,6,252.32
62,11.2,0.6,0.579,21,1,1,6,149.78
77,7.1,8.4,0.623,99,1,0,6,72.86
82,10.7,31.8,0.313,34,3,1,7,116.26
69,11.8,21.7,0.184,55,2,1,2,143.43
73,7.8,1.8,0.33,195,1,1,6,43.85
78,10.0,1.8,0.517,151,2,0,0,85.07
80,7.2,1.2,0.263,151,5,0,2,71.89
78,9.5,18.6,0.258,98,1,1,1,169.54
81,8.0,4.8,0.314,39,0,0,5,85.79
86,9.7,4.9,0.36,92,4,0,0,98.54
75,10.0,31.1,0.412,14,6,1,0,195.19
86,10.3,12.3,0.174,132,6,0,2,176.57
98,11.4,32.0,0.286,42,2,1,2,199.88
87,6.7,3.3,0.283,53,5,0,0,21.16
106,7.7,16.3,0.133,51,6,0,1,53.59
59,7.0,1.2,0.201,162,1,1,1,33.28
71,8.6,13.1,0.364,74,4,1,5,73.62
85,8.6,6.8,0.105,42,6,0,2,54.12
84,8.0,0.4,0.131,17,3,0,6,0.0
74,11.9,1.1,0.399,205,6,0,3,132.16
89,10.6,33.9,0.108,114,6,0,0,146.05
83,6.6,18.4,0.175,138,2,0,7,76.42
98,8.4,19.4,0.413,25,2,1,7,190.08
64,11.2,0.4,0.119,18,6,1,6,94.41
81,7.0,16.6,0.399,39,5,1,7,87.44
73,8.8,0.3,0.275,28,4,0,5,87.17
93,10.6,4.0,0.396,34,1,0,0,113.7
88,6.5,8.3,0.253,147,0,0,0,26.59
73,10.9,6.0,0.324,11,2,0,1,79.32
95,6.7,1.8,0.304,20,3,1,3,6.13
80,8.8,49.0,0.308,466,5,0,7,298.33
61,11.7,0.7,0.527,78,6,0,6,80.37
76,9.1,13.8,0.043,35,0,1,6,0.0
115,11.4,18.8,0.139,26,0,0,7,42.84
77,11.5,3.9,0.207,62,2,0,3,36.67
84,8.6,6.3,0.242,73,0,0,6,0.0
84,11.6,1.1,0.348,159,4,0,6,126.05
79,6.5,5.3,0.492,29,1,1,0,94.38
103,8.1,5.1,0.245,83,1,0,4,54.44
91,11.3,0.4,0.314,18,0,0,0,76.64
90,9.2,3.7,0.315,35,6,0,5,147.72
76,10.3,31.5,0.381,16,1,1,7,130.42
90,6.3,13.6,0.027,41,6,0,5,20.2
75,10.0,0.2,0.116,127,2,1,0,22.81
86,11.1,8.8,0.092,80,6,0,7,103.2
111,10.1,5.1,0.357,144,2,0,1,92.83
103,11.7,50.2,0.404,34,5,1,6,332.25
78,10.2,35.6,0.307,72,2,1,5,232.21
83,7.9,13.9,0.559,47,5,1,1,75.72
64,7.5,0.2,0.335,42,5,0,4,53.47
76,9.8,1.9,0.109,64,5,0,5,74.49
50,6.6,17.1,0.192,1152,3,1,7,142.22
94,8.3,11.0,0.339,33,3,0,4,130.45
69,8.6,3.2,0.177,43,0,0,5,13.5
79,9.6,1.4,0.256,69,2,0,3,90.49
73,7.4,5.5,0.184,90,2,0,5,20.37
95,11.6,25.1,0.425,123,4,0,2,228.2
101,11.7,9.3,0.037,37,2,0,4,0.0
101,9.6,4.1,0.233,18,0,0,6,69.87
61,10.0,1.1,0.067,59,0,0,2,21.11
90,7.8,2.4,0.117,151,4,0,1,101.18
67,7.5,6.5,0.375,150,2,0,7,42.39
82,7.6,17.0,0.137,5,1,0,4,49.1
94,8.4,8.0,0.535,37,4,0,4,81.8
76,11.6,7.6,0.349,57,5,0,4,75.07
83,7.9,3.9,0.141,129,1,0,2,0.0
71,7.7,3.5,0.318,130,3,0,5,26.91
96,8.0,13.4,0.148,32,1,0,1,92.96
77,7.4,15.0,0.152,220,2,1,5,40.32
72,10.4,39.2,0.217,57,0,1,7,75.36
85,8.4,27.6,0.463,79,1,0,2,182.4
94,8.8,10.6,0.463,110,2,0,7,97.03
59,10.3,11.3,0.108,52,5,1,0,84.69
87,9.9,6.0,0.251,190,3,1,5,98.22
73,8.4,43.4,0.347,44,3,0,6,149.08
90,6.1,29.8,0.081,100,3,1,7,43.17
72,11.4,0.5,0.186,69,3,0,3,21.46
67,6.7,5.6,0.307,53,1,0,2,33.58
69,11.1,6.2,0.096,26,5,1,2,72.04
82,10.5,3.8,0.325,423,6,0,4,171.44
88,11.0,7.0,0.218,39,4,0,6,85.45
71,11.4,7.2,0.199,16,4,0,3,32.39
81,6.3,18.0,0.32,55,0,0,5,72.28
70,8.6,28.9,0.417,41,1,1,0,158.31
74,6.3,9.0,0.334,142,3,0,7,75.83
73,7.9,3.6,0.477,132,5,0,7,80.05
69,6.8,9.2,0.106,16,2,0,3,14.71
62,9.5,2.4,0.371,72,4,0,1,84.76
79,9.7,5.2,0.167,30,0,1,1,52.64
97,9.4,9.2,0.645,19,4,0,3,173.2
81,7.3,36.4,0.389,12,0,1,2,137.62
76,7.5,7.6,0.437,56,1,1,6,96.96
92,7.8,0.1,0.406,58,2,0,3,12.39
73,6.9,1.4,0.172,13,0,0,2,23.09
83,8.6,6.1,0.258,226,5,0,5,62.23
57,10.2,2.2,0.167,31,6,1,3,11.77
80,10.8,4.7,0.223,18,4,0,3,19.61
75,6.1,24.6,0.192,92,3,1,2,79.79
52,6.3,14.0,0.329,4,5,1,3,62.69
73,9.7,12.1,0.68,21,5,1,7,181.04
50,8.7,6.0,0.426,184,2,1,6,83.88
71,8.1,17.7,0.333,133,3,0,1,141.9
87,10.7,77.7,0.112,27,5,0,0,299.25
66,8.9,4.9,0.055,218,3,0,7,21.49
69,9.5,13.2,0.239,62,2,0,3,68.78
57,8.0,2.7,0.113,58,1,0,2,32.04
84,7.8,1.2,0.172,53,1,0,1,71.21
73,11.7,42.6,0.224,214,4,0,5,277.01
79,10.2,2.7,0.154,152,1,0,1,0.0
97,8.0,1.3,0.2,257,1,1,6,4.78
65,12.0,7.9,0.143,185,3,1,6,71.55
99,6.3,14.3,0.138,138,5,0,6,102.45
76,8.6,0.0,0.227,50,4,0,3,23.3
96,11.9,6.1,0.052,96,0,1,6,37.4
78,11.4,7.6,0.174,68,1,1,6,45.82
55,8.7,8.2,0.244,38,3,0,4,32.74
61,10.3,6.2,0.242,194,2,1,6,88.28
76,8.2,2.0,0.079,50,0,0,1,0.0
55,8.9,15.0,0.117,48,4,1,7,68.52
88,9.9,12.2,0.444,31,2,0,2,155.38
92,8.2,0.4,0.039,19,3,0,5,0.0
58,10.6,11.1,0.252,56,4,0,1,73.57
76,8.1,16.8,0.256,122,0,0,4,99.99
79,7.2,1.6,0.369,13,6,1,2,18.4
90,7.5,17.3,0.111,112,4,0,5,60.44
86,11.4,3.6,0.597,33,4,0,4,115.18
74,10.5,13.6,0.399,88,5,0,1,41.16
59,11.4,13.3,0.392,39,0,1,7,69.52
80,11.6,10.0,0.122,177,5,1,4,141.35
78,6.1,3.0,0.499,319,6,0,7,67.43
68,7.2,3.8,0.25,24,3,0,0,35.79
112,8.3,7.7,0.442,144,4,0,3,162.42
83,7.3,0.3,0.136,45,1,0,7,0.0
70,6.3,6.5,0.321,73,1,0,5,70.68
72,11.6,14.2,0.115,129,5,0,3,73.69
92,11.3,0.0,0.124,20,0,1,5,10.62
98,7.1,16.1,0.705,47,0,1,0,152.41
89,8.9,6.8,0.393,64,4,0,7,235.99
95,11.9,8.0,0.629,191,5,0,4,280.8
61,9.5,3.0,0.152,89,5,0,6,38.91
79,9.2,6.4,0.325,50,1,0,7,52.79
63,8.5,8.5,0.266,55,4,1,0,84.38
92,6.8,46.2,0.446,471,3,1,6,285.45
93,6.7,11.6,0.184,114,6,1,2,88.22
65,11.3,11.9,0.33,98,1,0,7,102.93
71,7.5,69.6,0.205,216,3,0,6,215.89
66,7.6,0.4,0.182,314,4,1,0,79.38
83,6.8,24.6,0.264,44,4,1,1,79.48
78,8.4,18.8,0.472,165,5,1,2,158.31
81,9.8,0.6,0.39,180,4,0,6,74.24
75,9.2,7.0,0.637,50,2,0,0,126.34
107,6.2,8.7,0.16,111,4,1,0,6.94
94,8.8,0.4,0.057,46,1,0,6,59.77
78,8.5,7.1,0.586,43,4,1,5,71.07
57,7.6,25.5,0.428,23,3,0,0,98.67
55,9.9,0.3,0.235,49,2,1,5,19.44
56,11.6,21.1,0.108,54,4,1,4,45.36
87,10.2,21.9,0.158,156,6,0,1,82.43
78,7.1,0.0,0.217,24,1,0,6,28.19
98,9.9,28.8,0.694,809,1,1,7,475.47
91,6.9,15.1,0.125,124,0,1,0,26.83
50,9.3,33.8,0.392,45,4,0,5,86.74
68,11.8,31.8,0.494,62,5,0,4,209.16
55,11.8,3.4,0.25,8,6,0,3,27.58
74,11.3,8.7,0.481,16,5,0,1,209.58
85,8.2,8.1,0.548,22,5,1,4,59.41
81,10.2,14.8,0.304,75,6,1,1,123.44
80,7.0,10.5,0.333,13,6,1,4,86.72
62,11.6,39.9,0.522,13,1,0,7,149.87
115,8.7,8.4,0.607,91,2,1,5,251.81
82,9.4,5.6,0.174,197,4,0,5,125.36
104,8.3,58.1,0.353,154,4,0,2,257.36
92,8.5,10.8,0.493,97,3,0,6,160.69
89,8.2,6.3,0.348,32,1,0,6,58.66
89,8.9,5.2,0.183,24,3,0,0,0.0
72,11.2,14.8,0.097,216,6,0,1,132.13
71,11.1,26.4,0.288,23,5,1,2,132.81
78,8.0,2.3,0.138,77,1,1,7,31.73
78,6.7,5.6,0.16,11,0,0,0,29.42
50,8.7,0.8,0.178,41,1,0,7,25.08
80,6.0,3.8,0.128,20,0,0,2,1.16
89,10.5,29.9,0.224,72,5,0,7,122.48
60,6.0,12.4,0.33,108,2,1,3,50.35
64,7.2,29.2,0.239,14,6,0,5,84.82
81,6.9,9.8,0.038,65,6,1,2,48.91
86,11.2,52.3,0.521,85,4,0,5,341.71
77,12.0,12.1,0.402,26,3,0,5,180.49
85,6.9,15.3,0.077,42,1,0,6,15.18
82,9.4,23.9,0.257,162,1,1,4,166.93
74,11.0,5.3,0.326,301,4,0,5,157.12
79,8.1,4.2,0.132,43,6,1,7,36.21
80,7.5,2.3,0.178,72,4,0,2,56.7
80,7.7,14.7,0.303,98,5,1,5,70.15
78,7.9,20.5,0.132,307,3,1,4,94.48
85,7.5,5.9,0.269,71,1,0,0,94.66
94,6.4,0.0,0.341,37,0,0,1,60.44
87,11.5,28.6,0.159,34,0,0,7,176.63
50,11.4,15.4,0.441,93,1,1,2,83.5
59,11.1,26.0,0.327,26,2,0,1,101.15
89,10.6,25.2,0.338,108,3,1,6,153.03
68,10.5,8.1,0.337,35,4,0,6,67.35
98,10.2,16.9,0.365,168,5,0,1,223.43
58,11.1,22.6,0.224,114,4,0,5,76.15
92,6.3,0.5,0.255,60,3,1,0,24.89
67,10.6,20.0,0.333,82,5,1,3,118.67
97,11.2,8.3,0.441,18,6,1,5,192.41
69,9.9,5.3,0.258,34,6,0,0,63.93
65,11.1,2.3,0.188,23,1,1,5,0.0
81,7.8,3.1,0.184,46,2,1,3,106.36
58,8.2,19.1,0.199,35,1,1,6,79.72
66,9.7,23.9,0.093,184,1,1,1,109.83
93,6.8,39.6,0.552,221,0,1,4,175.33
102,7.1,1.9,0.192,5,4,1,0,63.36
77,12.0,8.7,0.078,87,1,0,4,102.11
73,10.7,29.9,0.156,686,6,1,3,262.56
57,6.7,3.0,0.133,14,1,1,7,0.0
90,6.7,3.3,0.146,183,0,0,4,8.12
73,8.4,9.4,0.269,159,5,0,7,93.54
62,12.0,10.2,0.22,51,5,0,1,93.47
84,11.9,2.6,0.265,144,0,0,0,144.78
60,8.8,8.8,0.44,42,2,1,5,60.92
82,8.7,29.1,0.161,23,1,1,4,33.9
74,9.5,10.5,0.354,1042,1,1,4,242.67
83,10.0,18.5,0.135,57,4,1,0,96.15
58,7.6,17.9,0.526,53,1,0,4,23.4
83,7.0,5.8,0.135,83,4,0,5,67.11
53,10.9,18.6,0.334,97,1,0,7,127.06
84,8.1,21.2,0.09,319,4,0,1,56.61
79,6.2,6.6,0.31,169,4,0,6,41.04
52,11.1,18.5,0.275,61,4,0,6,60.92
80,10.4,60.2,0.083,210,1,0,1,220.54
90,10.3,11.9,0.168,79,2,0,4,122.42
73,9.9,3.4,0.421,35,4,0,2,56.99
60,8.5,21.9,0.449,181,1,0,3,97.92
74,11.3,1.5,0.351,21,1,1,3,55.07
50,8.2,8.3,0.283,259,4,1,7,113.37
85,7.6,27.4,0.337,153,6,0,3,211.3
91,9.2,12.5,0.217,55,5,1,0,140.64
73,8.8,43.0,0.251,117,0,0,4,149.95
76,6.2,6.0,0.347,53,3,0,1,25.4
97,7.7,9.0,0.356,115,2,0,2,62.39
103,8.3,5.4,0.529,20,4,0,1,132.89
91,10.8,12.7,0.036,63,0,0,5,19.52
65,8.4,4.4,0.125,31,3,0,6,0.0
99,11.6,3.8,0.146,566,3,0,2,205.38
89,10.4,16.1,0.236,80,2,1,0,121.43
84,10.9,44.5,0.298,68,0,0,6,248.03
85,11.3,2.3,0.505,67,0,0,5,170.01
96,7.2,24.8,0.483,36,2,0,1,167.51
52,10.8,33.1,0.12,120,4,0,4,67.11
78,7.2,17.6,0.383,95,4,0,7,71.78
63,9.3,6.0,0.1,25,3,0,7,74.17
86,7.8,0.8,0.382,52,0,1,5,70.07
68,9.0,0.4,0.449,24,6,0,7,100.65
126,7.3,10.9,0.46,79,0,0,4,128.88
91,11.8,18.6,0.349,77,6,0,4,148.05
63,10.0,4.4,0.245,89,6,0,1,0.0
94,7.5,7.1,0.359,33,2,1,2,124.26
74,7.4,3.5,0.553,88,2,1,7,85.74
81,6.9,20.1,0.142,12,6,0,2,62.87
78,10.7,19.3,0.294,69,6,0,2,57.77
53,8.9,15.9,0.181,36,3,1,3,63.3
71,11.4,22.5,0.638,95,6,0,3,195.14
63,6.0,2.0,0.4,127,4,1,5,43.98
50,9.0,7.1,0.109,36,4,0,3,17.06
72,8.9,20.3,0.264,235,4,0,6,32.48
76,11.9,37.5,0.374,8,1,0,1,180.18
58,10.4,19.7,0.368,29,1,1,2,60.5
96,9.2,26.9,0.114,32,6,0,4,150.6
86,9.5,0.2,0.235,107,3,1,5,53.08
82,10.2,17.0,0.151,83,1,0,7,65.1
88,11.5,1.8,0.134,37,2,1,5,85.69
88,6.4,16.3,0.167,45,1,1,0,29.47
84,6.4,0.9,0.414,102,2,0,0,86.61
103,7.2,4.2,0.355,28,1,1,5,104.14
50,8.7,13.8,0.204,187,3,1,0,45.31
88,8.1,2.6,0.333,28,1,1,1,69.34
74,6.3,18.4,0.228,42,5,0,3,28.37
101,9.6,1.1,0.259,115,2,0,3,141.35
86,11.1,21.2,0.204,373,6,0,3,254.99
78,6.3,10.1,0.212,26,6,1,0,42.83
102,9.1,0.2,0.076,73,3,0,3,20.28
77,11.9,3.5,0.161,40,4,1,3,85.58
86,6.3,7.9,0.441,16,4,1,0,13.16
71,7.8,12.3,0.267,174,1,0,1,71.96
82,8.7,13.4,0.417,385,0,0,0,155.34
111,7.0,27.0,0.42,374,4,1,6,194.45
93,9.3,6.9,0.265,74,5,0,3,136.46
86,11.1,0.2,0.553,415,1,1,5,204.25
59,8.2,3.7,0.126,155,2,0,3,27.88
115,6.1,1.2,0.203,26,3,0,7,0.0
62,9.7,21.9,0.396,22,2,1,5,111.43
81,11.3,1.9,0.624,33,2,0,6,113.15
87,10.8,5.3,0.192,15,6,0,1,50.95
89,9.9,1.9,0.259,59,5,0,5,85.69
69,10.7,8.7,0.38,30,0,0,3,39.92
90,7.9,2.6,0.408,73,6,1,0,70.74
62,8.9,17.3,0.267,60,4,0,5,64.24
105,8.3,8.1,0.399,289,5,0,3,173.3
61,6.2,8.2,0.468,85,3,1,6,38.59
72,7.5,36.2,0.06,38,1,0,4,71.91
89,9.0,4.6,0.108,23,4,1,3,85.36
77,9.9,5.8,0.155,22,4,0,1,9.6
103,6.1,10.8,0.284,306,2,0,6,143.59
99,11.6,5.0,0.391,81,3,0,5,196.41
87,9.6,21.2,0.112,11,1,1,2,230.36
69,11.0,9.5,0.576,112,5,0,1,162.8
78,7.1,0.0,0.589,374,2,0,1,124.06
58,9.8,4.7,0.591,43,6,1,2,115.33
67,6.5,8.3,0.09,114,1,0,1,25.44
76,8.7,18.2,0.456,77,0,0,3,129.72
93,10.2,16.2,0.254,121,4,1,2,96.29
86,10.0,13.3,0.239,300,6,0,2,237.76
76,7.4,21.5,0.242,19,6,0,1,45.7
69,6.7,2.9,0.456,68,4,0,0,67.74
91,8.1,7.4,0.463,22,1,0,6,103.86
71,9.7,9.3,0.096,33,2,0,6,8.16
90,6.5,43.6,0.384,64,2,0,5,123.39
88,11.0,44.9,0.116,46,6,1,1,143.01
96,9.0,8.3,0.036,486,4,0,6,105.53
67,11.1,1.8,0.487,152,4,1,4,106.83
73,9.9,26.2,0.234,26,6,1,5,122.13
80,11.8,0.3,0.205,186,1,0,3,95.78
75,8.9,7.2,0.128,141,1,1,6,67.66
70,10.4,8.3,0.021,118,0,1,4,83.08
70,8.9,1.9,0.319,93,1,1,7,64.19
61,7.0,5.6,0.628,70,3,0,6,85.97
68,6.5,13.4,0.252,28,0,0,3,61.38
90,7.4,14.4,0.236,33,1,0,7,93.29
93,9.5,18.1,0.433,112,2,0,2,192.09
84,11.0,10.2,0.141,137,4,0,6,102.95
76,6.9,4.2,0.407,69,6,0,2,25.74
78,11.5,0.1,0.559,52,6,1,5,153.29
101,8.9,11.2,0.202,34,5,1,5,153.37
93,9.0,9.9,0.202,308,6,0,0,84.0
50,6.2,12.1,0.287,65,5,0,4,50.44
67,11.8,32.0,0.414,46,0,0,6,171.64
72,6.4,3.3,0.209,544,5,0,2,96.35
103,7.7,14.7,0.476,27,6,0,4,171.34
