gps_deviation_km,location_consistency,claim_frequency_30d,account_age_months,multiple_claims_per_day,orders_during_disruption,avg_payout_inr,trust_score,zone_risk_tier,is_fraud
0.293,0.641,1,60.0,0,0,138,58.7,2,0
0.313,0.652,4,15.0,0,0,343,68.3,1,0
1.518,0.895,2,5.4,0,1,298,86.1,2,0
0.016,0.519,3,5.4,0,1,256,90.4,1,0
1.387,0.76,2,12.7,0,1,481,58.1,1,0
0.645,0.918,2,17.8,0,0,273,98.9,1,0
0.298,0.916,2,10.8,1,0,342,90.1,2,0
0.237,0.932,1,22.2,1,0,318,90.3,3,0
0.403,0.855,1,13.2,0,1,346,85.0,1,0
0.653,0.621,3,1.4,0,1,324,63.5,1,0
0.175,0.734,1,4.6,0,0,323,65.9,1,0
0.03,0.771,0,1.9,0,0,458,82.3,2,0
0.085,0.862,3,16.5,0,2,424,79.3,3,0
0.889,0.887,3,10.4,0,0,384,90.0,1,0
0.108,0.936,3,60.0,1,0,361,78.5,3,0
1.04,0.794,2,7.1,0,2,356,88.2,3,0
0.168,0.602,0,0.5,1,1,197,76.5,3,0
1.388,0.803,3,58.7,0,1,506,75.6,2,0
0.363,0.826,3,17.3,1,1,438,67.0,1,0
0.216,0.786,2,12.2,1,0,262,38.9,3,0
0.354,0.91,3,28.5,0,1,512,93.4,3,0
1.095,0.842,3,4.5,0,0,402,93.8,1,0
0.839,0.728,3,5.5,1,4,491,45.9,3,0
0.209,0.683,0,43.5,0,1,351,21.1,2,0
0.249,0.969,3,8.3,0,1,346,68.0,2,0
2.09,0.933,2,60.0,0,1,248,61.8,2,0
0.077,0.843,2,5.7,0,0,502,42.1,2,0
0.3,0.391,2,26.4,0,2,325,41.5,1,0
0.823,0.564,1,0.5,1,1,189,73.7,3,0
0.268,0.629,2,1.5,2,0,348,56.6,3,0
0.041,0.722,2,6.9,0,0,310,46.7,2,0
0.21,0.917,2,12.7,0,0,428,61.1,1,0
0.866,0.917,1,8.0,0,1,405,89.6,1,0
0.441,0.941,1,30.7,0,0,501,86.1,1,0
0.355,0.932,0,17.4,0,0,137,74.3,1,0
0.004,0.852,2,60.0,0,2,374,96.7,2,0
0.675,0.829,2,23.2,0,2,205,87.7,1,0
0.814,0.923,3,5.3,0,1,238,73.3,2,0
0.098,0.923,2,17.9,0,1,314,69.6,3,0
0.426,0.847,4,15.8,0,1,256,82.7,2,0
0.908,0.911,1,25.4,1,1,324,82.0,3,0
0.416,0.938,3,12.7,1,3,320,84.1,2,0
0.265,0.724,1,9.7,0,1,372,77.9,2,0
0.067,0.762,3,34.5,0,0,313,47.4,1,0
2.53,0.825,0,13.6,1,2,445,57.2,2,0
0.42,0.863,5,10.0,0,0,535,47.1,1,0
0.139,0.726,2,34.6,1,0,387,65.0,1,0
0.723,0.723,4,4.4,0,1,425,62.6,1,0
0.285,0.828,3,38.9,1,1,452,91.2,1,0
0.154,0.744,2,34.1,1,1,393,65.0,3,0
0.775,0.865,0,3.7,1,0,350,76.3,2,0
1.181,0.968,2,5.3,0,0,266,74.0,2,0
0.699,0.781,1,10.3,0,2,368,94.7,1,0
0.75,0.692,1,13.9,1,3,268,88.4,2,0
0.026,0.83,1,47.9,1,0,469,44.5,3,0
0.003,0.794,1,2.1,0,0,354,84.4,2,0
0.469,0.763,2,9.1,0,3,376,77.6,3,0
0.117,0.519,0,10.7,1,0,270,78.7,3,0
1.044,0.978,0,2.4,0,1,218,57.7,1,0
0.025,0.44,3,13.5,0,1,267,92.7,1,0
0.178,0.845,2,8.1,0,2,405,54.0,2,0
0.211,0.824,3,4.3,1,0,375,40.8,3,0
0.663,0.892,7,46.5,0,3,405,89.2,1,0
0.799,0.88,2,18.1,0,1,325,39.0,1,0
0.275,0.793,3,22.7,0,2,307,72.8,1,0
0.093,0.765,0,17.0,0,1,333,85.4,1,0
0.285,0.72,1,1.6,0,4,440,59.8,3,0
0.954,0.787,1,35.0,0,1,310,82.4,1,0
0.063,0.912,5,23.4,0,1,340,74.4,1,0
0.049,0.68,0,2.8,0,1,195,94.9,2,0
2.671,0.8,1,60.0,0,1,486,81.6,2,0
0.144,0.929,2,5.9,1,1,292,96.9,2,0
0.729,0.946,5,21.6,0,2,308,78.2,2,0
0.326,0.631,2,0.7,0,1,239,97.1,2,0
0.812,0.922,3,5.3,1,2,410,66.7,1,0
0.813,0.486,4,2.8,0,0,447,90.7,2,0
0.066,0.911,2,60.0,1,1,428,85.7,2,0
0.932,0.861,1,54.7,0,3,292,61.5,1,0
0.094,0.934,3,60.0,0,1,290,70.3,3,0
0.199,0.613,2,4.0,1,2,274,76.5,1,0
0.125,0.73,3,0.5,1,0,403,89.8,2,0
0.565,0.886,1,17.4,1,1,382,58.4,2,0
0.877,0.919,1,12.8,0,0,366,77.3,3,0
0.751,0.945,4,41.3,0,0,416,70.7,3,0
0.124,0.647,1,7.1,0,2,301,61.7,2,0
0.171,0.886,0,15.1,1,2,327,49.8,3,0
0.106,0.675,3,19.6,0,3,371,89.8,1,0
0.371,0.988,5,12.2,1,2,411,62.5,3,0
0.394,0.719,2,24.9,0,0,392,90.0,3,0
0.419,0.942,2,7.1,0,0,307,73.7,1,0
0.341,0.947,0,23.1,1,2,260,80.0,3,0
0.861,0.928,1,25.6,0,3,482,82.8,1,0
0.208,0.804,2,10.1,2,1,442,75.2,2,0
0.262,0.764,1,13.1,0,2,415,78.7,1,0
0.485,0.83,4,4.2,0,1,558,91.9,1,0
0.192,0.944,3,14.3,0,1,352,89.2,3,0
0.226,0.588,4,4.0,0,0,201,67.8,3,0
0.512,0.828,0,6.3,0,2,357,82.1,1,0
0.421,0.62,3,21.4,0,2,352,70.7,2,0
0.365,0.472,2,1.0,0,0,306,83.5,1,0
0.04,0.605,1,14.7,0,1,332,42.6,3,0
0.57,0.83,1,20.9,0,1,308,93.9,1,0
0.974,0.723,1,2.1,0,3,268,83.7,1,0
1.693,0.828,4,5.9,0,3,446,88.9,3,0
1.057,0.951,1,60.0,1,0,439,91.7,2,0
0.041,0.817,4,43.9,1,1,164,55.8,3,0
1.749,0.856,3,3.8,0,2,493,84.7,2,0
0.048,0.925,1,0.5,1,0,400,72.9,2,0
0.711,0.833,1,15.5,1,1,309,94.6,3,0
0.039,0.789,0,25.7,0,0,242,61.7,2,0
0.054,0.956,2,11.7,0,0,494,67.2,3,0
0.137,0.587,0,15.9,1,2,423,82.3,3,0
0.357,0.767,3,7.1,1,0,402,75.5,1,0
0.194,0.69,1,30.3,0,2,333,95.7,3,0
0.661,0.95,3,45.6,1,2,346,49.4,2,0
0.682,0.857,1,8.4,0,0,365,37.3,2,0
0.426,0.623,2,1.6,0,2,435,57.0,2,0
0.185,0.882,1,18.9,0,0,419,68.5,2,0
0.041,0.778,2,29.6,0,1,303,61.0,3,0
0.477,0.762,3,48.8,0,0,477,91.3,1,0
0.026,0.812,3,1.2,0,2,336,88.0,2,0
0.327,0.815,1,18.6,0,0,368,83.8,3,0
0.303,0.997,2,13.1,0,0,359,82.5,1,0
1.28,0.663,2,20.9,1,0,283,74.0,2,0
0.783,0.925,2,53.2,0,1,516,87.3,1,0
0.813,0.749,0,31.9,0,0,479,67.7,1,0
0.012,0.737,1,19.3,1,3,303,92.9,2,0
0.692,0.88,2,36.0,0,0,435,72.4,3,0
0.164,0.875,4,41.3,0,0,376,99.4,2,0
0.164,0.903,1,6.0,0,1,532,69.9,1,0
0.039,0.931,1,1.9,0,0,472,75.8,2,0
0.048,0.928,5,8.0,0,2,256,67.3,2,0
0.234,0.762,2,0.5,0,0,342,78.4,1,0
2.371,0.946,3,8.7,2,1,303,82.6,1,0
0.215,0.88,0,6.2,0,1,444,73.9,1,0
0.044,0.584,3,16.8,1,0,387,91.0,2,0
0.401,0.771,1,14.6,0,1,287,64.1,1,0
0.75,0.973,2,8.0,0,0,528,78.0,3,0
0.677,0.456,2,2.4,0,1,259,89.9,3,0
1.194,0.793,0,58.9,0,0,333,85.7,3,0
0.363,0.518,3,60.0,0,2,261,83.0,2,0
0.946,0.852,2,3.2,0,2,357,45.9,3,0
0.018,0.713,3,8.0,0,1,378,85.2,2,0
1.178,0.885,2,11.0,0,0,395,63.0,1,0
0.116,0.903,2,14.5,0,0,276,86.1,3,0
0.07,0.971,2,7.8,1,0,308,88.6,3,0
1.126,0.761,4,37.2,0,1,316,84.1,2,0
0.038,0.644,4,9.8,0,1,485,54.0,3,0
0.467,0.719,1,2.7,0,0,602,85.7,3,0
0.393,0.954,2,10.1,1,6,308,73.9,1,0
0.007,0.742,3,47.8,0,0,338,76.8,1,0
0.68,0.926,1,5.0,1,0,329,75.1,1,0
0.197,0.838,1,21.2,0,1,523,75.7,2,0
0.022,0.895,1,37.2,0,1,269,84.1,3,0
0.046,0.761,3,5.8,0,1,306,96.2,2,0
0.168,0.95,4,5.8,0,0,373,75.3,1,0
0.539,0.853,4,4.6,1,1,428,60.9,1,0
0.666,0.718,0,34.2,0,2,143,91.6,3,0
1.123,0.841,1,32.9,0,0,146,78.7,1,0
0.395,0.868,0,4.3,0,1,312,94.4,2,0
0.264,0.841,2,9.9,0,0,417,85.9,1,0
1.059,0.713,1,0.6,0,0,221,78.7,2,0
0.246,0.886,1,6.3,1,2,335,67.5,1,0
0.324,0.912,6,4.1,0,2,356,62.6,1,0
0.26,0.637,2,11.6,1,1,282,71.8,1,0
0.585,0.93,1,21.7,0,2,433,64.5,2,0
0.603,0.848,1,32.6,2,0,461,74.1,3,0
0.404,0.947,4,27.9,0,1,208,88.2,3,0
0.514,0.823,2,15.7,0,0,197,56.5,2,0
0.073,0.921,1,37.5,0,0,303,78.6,3,0
0.818,0.831,1,40.9,1,2,224,72.3,1,0
0.687,0.772,3,14.8,0,1,317,81.0,3,0
0.049,0.597,4,14.8,0,2,273,77.1,3,0
0.443,0.687,2,10.9,0,0,269,94.8,2,0
0.177,0.954,0,32.9,0,2,308,96.5,2,0
0.649,0.52,2,9.0,0,2,334,87.4,2,0
1.897,0.897,4,18.8,0,1,232,94.3,2,0
0.044,0.735,1,4.3,0,1,234,91.9,1,0
0.514,0.974,2,17.7,0,1,217,63.8,2,0
0.835,0.815,4,35.1,1,2,429,89.5,2,0
0.116,0.698,4,15.5,0,0,339,75.7,1,0
0.108,0.809,1,4.4,0,0,331,93.1,1,0
0.396,0.82,2,17.1,0,2,235,79.0,2,0
0.095,0.85,2,18.9,0,0,408,54.6,1,0
0.274,0.906,3,1.8,0,1,295,71.0,3,0
0.247,0.697,0,5.4,0,2,557,88.0,1,0
0.321,0.707,1,26.0,0,1,233,37.1,1,0
0.955,0.734,2,2.0,0,0,65,59.4,3,0
1.282,0.724,2,18.3,0,0,396,93.6,2,0
1.059,0.967,3,60.0,0,1,418,88.6,3,0
0.186,0.954,0,10.7,1,1,310,62.7,1,0
0.708,0.957,2,9.4,1,0,362,87.4,3,0
0.232,0.846,0,11.7,1,1,344,79.4,1,0
1.336,0.801,2,19.3,0,0,285,64.5,2,0
0.185,0.837,3,17.9,0,3,312,93.0,2,0
0.111,0.815,3,7.1,0,1,520,79.5,3,0
0.883,0.795,1,13.8,0,0,197,73.9,1,0
0.175,0.921,2,15.1,1,1,326,90.5,2,0
0.532,0.403,2,6.8,0,1,344,80.1,2,0
0.365,0.662,2,14.1,0,1,447,85.1,3,0
0.108,0.593,0,6.0,0,2,394,90.2,3,0
0.595,0.573,0,35.3,0,1,237,79.9,1,0
0.449,0.793,1,5.0,0,2,322,89.4,2,0
0.277,0.602,5,10.4,0,0,359,70.4,3,0
0.355,0.578,1,20.6,0,1,397,79.0,1,0
0.022,0.844,1,5.1,0,3,220,95.4,2,0
0.31,0.716,0,1.5,0,2,175,83.3,1,0
0.089,0.774,1,27.3,2,0,426,97.2,1,0
0.0,0.783,3,30.0,0,1,427,89.2,3,0
0.099,0.868,1,29.3,0,3,434,91.2,1,0
0.409,0.663,1,10.2,0,0,253,87.0,1,0
0.369,0.944,1,1.5,0,0,284,64.1,3,0
0.079,0.854,5,4.7,1,1,361,64.8,3,0
0.003,0.92,2,60.0,0,0,284,76.5,1,0
0.247,0.644,3,1.9,0,3,281,75.7,2,0
0.095,0.91,0,11.7,1,2,236,78.6,1,0
0.452,0.868,2,11.5,0,0,172,82.2,1,0
0.339,0.969,1,33.7,1,2,470,80.7,3,0
0.507,0.778,2,1.5,0,1,266,82.6,1,0
0.132,0.846,0,10.5,1,2,347,57.1,2,0
0.695,0.72,1,1.0,0,1,488,68.6,3,0
0.012,0.821,0,37.0,0,2,276,85.3,1,0
0.292,0.941,0,6.6,1,0,450,90.9,2,0
0.279,0.687,2,22.1,1,2,329,97.4,1,0
1.34,0.977,3,22.0,0,1,483,75.8,1,0
0.477,0.948,0,1.1,0,1,355,58.7,2,0
1.041,0.747,3,9.6,1,1,491,68.4,1,0
0.52,0.944,1,5.5,0,0,367,59.7,3,0
0.261,0.919,2,20.4,2,1,412,96.5,1,0
1.215,0.853,2,14.9,1,0,436,93.4,2,0
1.323,0.838,6,11.3,0,2,529,72.9,2,0
1.87,0.873,3,15.7,1,3,261,81.6,3,0
0.217,0.862,1,0.6,3,0,359,75.6,2,0
0.047,0.61,0,41.0,0,0,458,72.1,3,0
0.059,0.793,3,60.0,0,0,438,58.4,2,0
0.28,0.811,3,26.0,1,1,358,68.7,2,0
0.074,0.721,3,38.4,0,1,395,69.6,1,0
1.289,0.507,3,16.7,1,2,463,91.6,3,0
0.149,0.96,3,50.4,0,1,503,87.0,3,0
0.648,0.73,0,13.1,0,2,523,56.4,3,0
0.373,0.9,1,10.8,1,1,313,89.9,2,0
1.225,0.77,4,7.2,0,2,226,51.8,3,0
0.419,0.916,2,9.2,0,1,495,72.5,1,0
2.104,0.767,7,6.4,0,0,453,70.8,2,1
0.042,0.834,4,0.7,0,0,214,59.8,3,0
0.548,0.655,1,3.7,1,2,395,77.3,3,0
0.477,0.632,1,11.0,0,1,461,91.6,3,0
0.564,0.901,2,10.5,0,1,323,93.7,3,0
0.191,0.852,0,20.5,0,1,328,66.4,2,0
0.046,0.674,4,0.7,0,2,365,69.2,1,0
0.121,0.919,0,16.0,0,3,391,43.9,3,0
0.987,0.726,1,23.9,0,0,343,77.6,3,0
0.883,0.575,2,4.0,0,4,383,77.3,1,0
0.127,0.9,3,45.6,1,2,543,93.5,3,0
0.014,0.854,2,9.4,0,1,575,75.9,3,0
0.545,0.735,3,6.5,0,0,132,94.1,2,0
0.124,0.756,1,10.8,1,0,397,72.1,3,0
0.34,0.779,2,27.9,0,1,288,59.2,2,0
0.289,0.93,0,12.5,3,0,379,88.7,2,0
0.546,0.709,2,3.7,0,1,238,81.8,1,0
0.217,0.818,3,24.8,0,0,361,83.6,2,0
0.287,0.78,2,15.2,0,0,353,73.6,2,0
0.884,0.87,1,28.5,1,0,311,88.1,3,0
0.188,0.701,3,24.6,0,3,439,69.7,3,0
0.103,0.829,1,59.7,0,1,301,86.5,3,0
0.242,0.62,0,23.1,1,1,416,90.9,1,0
0.153,0.865,2,1.4,2,2,599,93.7,3,0
1.173,0.919,2,60.0,1,1,249,88.3,3,0
0.005,0.875,0,11.8,0,2,340,61.8,3,0
0.87,0.977,2,11.7,0,1,461,80.6,3,0
0.139,0.774,2,29.9,0,0,399,65.5,1,0
0.159,0.878,2,5.2,0,1,388,85.4,2,0
0.057,0.65,0,33.6,1,2,293,72.5,2,0
0.368,0.867,2,19.1,1,3,279,91.0,1,0
0.023,0.833,1,1.6,0,1,404,71.6,1,0
0.287,0.918,0,60.0,0,1,161,87.5,1,0
0.66,0.861,1,35.4,0,0,283,85.2,3,0
0.632,0.754,1,24.4,2,0,325,76.1,1,0
0.071,0.867,1,23.3,0,1,348,83.4,1,0
0.207,0.603,1,25.8,0,0,397,59.6,3,0
0.777,0.917,2,1.7,0,1,392,62.6,2,0
0.078,0.759,1,8.4,0,0,515,67.5,3,0
0.12,0.536,4,60.0,2,1,481,56.0,3,0
0.103,0.606,3,20.6,1,0,390,58.6,1,0
1.301,0.688,2,14.7,0,1,337,78.4,1,0
0.016,0.934,2,4.6,0,2,215,87.4,1,0
0.058,0.889,3,20.6,0,0,257,39.4,1,0
2.205,0.882,1,38.3,1,1,401,87.8,1,0
0.635,0.707,0,25.5,0,1,377,96.3,3,0
0.618,0.911,2,31.9,0,2,366,66.6,2,0
0.167,0.527,1,0.5,2,0,421,77.4,1,0
0.502,0.901,0,5.6,0,2,368,76.3,3,0
0.309,0.909,4,53.0,0,0,364,67.7,3,0
0.195,0.843,2,33.2,1,1,582,93.1,1,0
0.036,0.812,3,0.5,0,1,230,62.5,2,0
2.757,0.802,1,3.5,0,1,464,91.3,2,1
0.038,0.69,2,7.7,2,1,422,80.8,2,0
0.364,0.862,5,31.8,0,0,539,90.5,3,0
0.357,0.768,1,1.0,0,1,315,67.6,1,0
0.654,0.874,1,19.9,0,2,284,94.3,3,0
0.099,0.658,2,5.0,0,0,316,54.1,1,0
1.037,0.769,3,28.0,0,1,361,86.6,2,0
0.773,0.954,0,8.8,0,1,421,81.8,2,0
0.436,0.791,3,3.4,0,1,450,73.2,2,0
0.471,0.874,2,7.7,0,0,427,79.8,1,0
0.212,0.546,1,60.0,0,0,369,76.7,2,0
0.044,0.804,1,23.8,0,1,306,63.6,3,0
0.124,0.808,4,60.0,0,1,146,78.6,3,0
0.656,0.863,3,1.7,0,1,340,72.4,3,0
0.013,0.844,2,3.9,0,2,144,46.7,1,0
0.069,0.743,4,6.9,0,1,425,76.0,1,0
1.021,0.851,1,15.1,0,0,345,91.5,3,0
0.864,0.646,4,34.2,1,0,257,67.1,2,0
0.791,0.799,0,41.8,0,1,249,95.3,2,0
0.39,0.872,3,11.0,1,0,450,47.0,3,0
0.838,0.791,4,1.2,1,0,361,85.6,3,0
0.401,0.811,1,2.5,0,2,420,50.2,1,0
0.288,0.93,2,10.6,0,1,301,71.0,3,0
1.772,0.825,2,9.6,0,1,314,41.8,1,0
1.962,0.886,0,2.0,0,0,298,73.1,2,0
0.124,0.553,3,22.9,0,0,294,38.9,3,0
0.162,0.895,3,22.8,0,0,463,73.9,1,0
0.165,0.91,2,15.8,0,0,421,81.0,3,0
0.01,0.748,1,0.8,0,1,382,79.4,3,0
0.546,0.759,4,5.2,0,1,349,68.7,1,0
0.679,0.857,0,60.0,2,2,328,54.5,3,0
0.065,0.753,1,14.8,0,0,363,70.9,1,0
1.146,0.678,2,5.3,0,0,287,88.8,2,0
0.089,0.773,2,8.0,0,0,150,83.6,3,0
0.51,0.976,2,0.6,2,2,263,82.4,2,0
0.851,0.921,2,13.0,1,4,450,94.3,2,0
0.332,0.961,3,21.7,0,1,342,65.1,1,0
0.115,0.89,1,2.4,1,2,409,89.5,2,0
0.028,0.765,2,15.1,0,1,319,82.2,3,0
0.425,0.976,2,6.5,0,0,355,96.6,1,0
0.248,0.668,1,12.7,0,2,306,71.2,2,0
0.05,0.843,2,47.6,0,2,385,86.1,1,0
0.975,0.504,2,16.3,1,1,463,77.3,1,0
0.017,0.884,1,43.0,0,4,479,69.2,1,0
0.753,0.961,1,14.4,0,3,216,81.0,3,0
0.731,0.945,1,10.9,2,1,392,98.9,2,0
0.002,0.95,1,4.3,0,3,81,79.5,2,0
0.078,0.765,5,6.3,1,1,358,83.9,2,0
0.582,0.788,2,27.5,0,1,304,79.1,3,0
0.299,0.902,1,25.6,1,2,400,63.8,2,0
0.443,0.843,2,20.3,0,2,327,80.6,1,0
0.163,0.64,1,0.7,0,1,363,74.5,3,0
0.142,0.818,1,51.2,0,0,454,89.4,3,0
0.416,0.92,2,9.2,1,1,447,33.3,3,0
0.188,0.793,2,2.5,0,0,244,67.8,3,0
0.004,0.954,0,36.8,1,0,254,75.2,1,0
0.145,0.749,3,49.4,0,0,328,90.2,3,0
0.137,0.893,6,8.7,0,1,300,93.6,1,0
0.153,0.9,1,3.9,1,0,444,71.7,2,0
0.627,0.876,3,2.9,0,0,247,73.6,1,0
0.035,0.772,2,36.5,1,0,291,83.5,1,0
0.021,0.853,2,4.8,1,0,179,86.3,3,0
0.29,0.699,1,2.2,0,3,452,43.1,3,0
0.241,0.93,6,9.9,0,3,370,40.7,2,0
0.781,0.937,0,60.0,1,1,348,81.2,2,0
0.91,0.615,2,4.9,0,0,373,59.5,3,0
0.313,0.935,2,48.4,0,0,405,45.2,1,0
0.117,0.633,1,37.3,0,1,295,88.5,1,0
0.173,0.644,3,27.9,0,1,286,81.5,2,0
0.728,0.845,2,46.4,1,1,458,82.1,3,0
0.057,0.861,3,6.8,0,1,514,58.4,2,0
0.337,0.858,1,28.3,0,0,349,71.6,1,0
1.207,0.76,2,6.4,0,0,388,44.9,2,0
0.111,0.808,1,28.0,0,1,401,81.8,1,0
0.003,0.62,3,1.2,1,2,452,89.1,1,0
0.333,0.843,3,31.5,0,1,283,82.3,1,0
0.205,0.779,2,51.8,0,1,563,40.0,1,0
0.628,0.95,2,4.1,0,0,406,73.3,3,0
0.91,0.827,1,4.0,0,0,515,94.9,2,0
0.136,0.906,3,24.6,0,2,298,90.5,2,0
0.187,0.756,2,0.5,0,2,475,53.4,3,0
0.013,0.944,2,2.0,0,3,292,72.3,3,0
0.473,0.869,2,8.6,0,0,261,53.0,3,0
0.415,0.931,2,0.6,0,0,496,73.5,3,0
0.335,0.666,1,17.2,0,1,387,88.1,2,0
0.136,0.698,3,35.2,0,1,237,75.0,2,0
0.449,0.891,3,0.5,3,0,466,52.4,3,0
0.479,0.672,3,6.5,1,0,503,76.1,2,0
0.876,0.83,2,16.5,1,0,430,87.0,1,0
0.215,0.852,0,6.9,1,1,158,79.5,3,0
0.935,0.916,0,4.0,0,2,347,81.4,2,0
0.769,0.974,6,13.9,1,1,562,72.9,3,0
0.887,0.793,3,0.6,0,1,552,90.5,1,0
0.086,0.697,1,31.0,1,0,432,39.7,3,0
0.102,0.88,3,2.2,0,0,360,80.3,3,0
0.907,0.912,3,4.6,0,0,627,68.3,1,0
0.416,0.945,1,1.1,0,2,438,80.0,1,0
0.509,0.955,1,11.2,1,1,391,83.6,2,0
0.333,0.739,4,20.4,0,0,399,95.7,3,0
0.618,0.655,2,20.9,0,1,361,59.3,2,0
0.422,0.744,0,60.0,1,4,353,52.5,2,0
0.053,0.707,6,23.8,0,1,260,53.7,1,0
0.161,0.921,1,7.2,1,0,319,83.6,1,0
1.265,0.973,2,21.1,0,2,424,43.9,1,0
0.297,0.857,1,7.8,0,0,274,88.5,2,0
0.111,0.645,3,15.9,0,2,333,58.5,1,0
0.227,0.625,2,58.7,0,2,385,89.2,1,0
0.166,0.783,7,11.8,0,1,390,61.7,1,0
0.513,0.969,2,15.3,0,1,218,83.2,2,0
0.403,0.57,4,60.0,1,0,270,82.0,1,0
0.059,0.736,2,3.0,0,1,309,92.5,2,0
1.086,0.876,2,60.0,0,1,326,70.1,3,0
0.214,0.715,0,30.2,0,2,200,91.0,3,0
0.609,0.968,3,10.9,0,1,623,44.8,3,0
0.3,0.978,1,11.8,0,0,331,68.4,2,0
1.813,0.785,3,1.7,1,0,361,65.2,1,0
0.52,0.924,5,7.2,0,1,207,62.4,3,0
1.748,0.849,1,31.2,0,0,326,71.2,3,0
0.805,0.514,3,7.8,1,2,361,77.7,2,0
0.442,0.949,3,2.3,0,0,344,62.6,3,0
0.5,0.886,2,20.8,1,2,451,55.9,1,0
0.597,0.835,5,16.8,0,0,505,80.1,2,0
0.553,0.886,2,31.2,1,1,258,72.8,2,0
0.043,0.795,1,6.0,1,0,325,38.6,2,0
0.481,0.914,1,24.7,0,0,446,91.4,3,0
0.175,0.966,1,0.5,0,1,367,95.7,3,0
0.224,0.945,0,9.1,0,0,330,81.2,2,0
0.041,0.95,2,21.3,0,0,433,93.1,3,0
0.717,0.898,3,14.0,0,1,527,84.7,1,0
0.178,0.697,3,20.7,1,2,229,47.4,3,0
0.249,0.594,2,6.4,0,0,283,84.8,1,0
0.534,0.456,0,4.6,1,1,594,77.6,3,0
2.004,0.728,2,38.5,0,2,243,87.6,1,0
0.022,0.783,1,4.3,0,1,95,90.7,2,0
0.027,0.775,0,18.1,0,0,384,87.3,2,0
0.196,0.81,0,3.6,0,0,304,70.7,2,0
0.708,0.91,1,19.5,0,0,359,40.5,2,0
1.117,0.716,5,3.6,0,0,368,73.7,2,0
0.055,0.893,2,0.7,0,0,447,69.5,2,0
0.207,0.908,1,49.2,0,1,237,61.8,2,0
0.204,0.905,4,0.5,0,1,228,67.7,3,0
0.143,0.939,2,8.3,0,0,443,88.5,3,0
0.624,0.806,2,12.5,0,0,463,87.1,3,0
0.363,0.819,1,0.5,0,3,145,67.6,3,0
0.016,0.863,3,10.0,0,1,299,67.7,1,0
0.023,0.619,1,1.0,0,0,288,75.8,2,0
0.315,0.627,0,25.5,0,0,414,83.4,1,0
0.157,0.925,4,31.7,0,1,351,78.1,3,0
0.025,0.44,3,2.5,0,1,450,73.0,2,0
0.118,0.847,1,2.9,0,0,335,88.6,2,0
0.052,0.934,0,16.3,1,0,255,94.1,1,0
1.032,0.654,2,60.0,0,4,491,81.7,1,0
0.137,0.82,2,32.2,0,1,180,66.4,2,0
0.395,0.891,0,0.5,0,0,426,48.4,3,0
0.026,0.842,3,11.4,0,0,171,83.9,1,0
0.758,0.712,3,34.0,0,1,285,69.8,2,0
0.032,0.776,1,26.0,0,1,236,84.5,1,0
0.112,0.868,1,17.6,0,3,268,80.0,3,0
0.549,0.845,2,53.7,2,1,404,37.1,3,0
1.849,0.806,5,25.3,0,1,430,69.7,2,0
0.115,0.861,4,9.2,0,3,331,94.5,2,0
0.027,0.985,2,25.1,0,1,285,74.4,3,0
0.245,0.698,2,7.7,0,0,300,85.2,3,0
0.338,0.47,1,8.9,2,1,391,62.9,3,0
0.589,0.943,0,0.5,0,0,324,60.9,2,0
0.933,0.904,2,11.2,0,1,278,92.2,2,0
0.284,0.613,0,9.9,0,2,411,51.1,3,0
0.6,0.589,3,32.2,0,0,293,61.6,2,0
0.114,0.908,2,8.7,0,3,261,89.1,1,0
1.327,0.773,3,24.2,1,0,370,96.8,2,0
0.236,0.902,1,4.8,0,1,412,70.9,2,0
0.077,0.89,4,60.0,2,1,273,64.0,2,0
0.239,0.875,2,14.0,0,3,271,58.8,1,0
0.095,0.944,0,6.9,1,1,387,59.7,3,0
0.206,0.799,0,1.2,0,0,362,81.8,1,0
0.743,0.959,2,2.1,0,1,300,70.3,1,0
0.056,0.906,0,32.7,0,0,191,69.1,3,0
0.039,0.782,2,29.5,0,2,349,93.8,1,0
0.081,0.86,3,8.3,0,0,348,78.6,1,0
0.28,0.659,4,3.3,0,2,257,82.9,1,0
0.078,0.777,1,20.2,0,1,480,69.6,3,0
0.723,0.773,3,2.1,2,2,331,70.9,3,0
0.56,0.635,2,30.2,1,1,429,92.0,2,0
1.239,0.678,0,35.2,0,2,428,61.0,2,0
1.444,0.73,1,2.3,0,0,655,85.8,1,0
0.241,0.932,1,13.7,0,0,516,77.8,2,0
0.404,0.863,2,26.8,0,0,343,90.0,3,0
0.607,0.996,5,1.4,0,2,556,60.3,1,0
0.536,0.717,3,12.6,0,1,310,95.3,2,0
0.022,0.959,3,1.6,0,1,277,80.4,3,0
0.369,0.787,1,20.9,0,1,376,66.8,2,0
0.375,0.927,3,0.5,0,0,320,80.4,3,0
0.223,0.733,3,23.7,1,1,351,91.6,2,0
0.207,0.84,2,6.5,0,1,410,77.0,2,0
0.324,0.754,4,8.2,0,1,404,60.6,1,0
0.122,0.746,6,1.5,0,2,379,87.9,1,0
0.796,0.959,1,18.4,0,0,340,79.4,1,0
0.256,0.783,1,21.9,0,0,296,85.3,3,0
1.792,0.534,1,19.7,0,3,338,54.6,3,0
0.128,0.805,5,22.0,0,5,305,82.9,3,0
0.414,0.908,1,4.9,1,2,288,96.9,1,0
0.257,0.808,2,18.8,0,2,330,77.8,1,0
